rule_0,36.230.166.13
rule_167,84.73.215.83
rule_168,164.81.207.25
rule_169,157.63.141.23
rule_170,98.246.142.230
rule_171,134.1.56.132
rule_172,21.149.235.203
rule_173,158.190.105.88
rule_174,63.90.185.60
rule_175,31.147.96.131
rule_176,130.33.10.147
rule_177,170.228.108.26
rule_178,36.201.252.42
rule_179,73.202.91.114
rule_180,119.55.127.18
rule_181,83.240.173.140
rule_182,150.124.97.41
rule_183,41.109.3.132
rule_184,172.240.65.1
rule_185,173.253.221.162
rule_186,57.82.185.169
rule_187,116.162.205.91
rule_188,188.251.140.99
rule_189,171.22.5.49
rule_190,53.59.114.189
rule_191,68.165.98.73
rule_192,22.17.178.69
rule_193,101.194.82.96
rule_194,85.224.11.241
rule_195,81.253.171.25
rule_196,86.25.179.21
rule_197,94.5.195.165
rule_198,106.40.119.161
rule_199,123.108.232.79
rule_200,124.201.7.8
rule_201,183.221.203.54
rule_202,160.122.25.6
rule_203,34.197.49.31
rule_204,23.85.165.158
rule_205,104.24.178.71
rule_206,105.234.55.67
rule_207,112.193.29.22
rule_208,123.67.16.231
rule_209,77.231.68.23
rule_210,176.252.230.60
rule_211,157.15.37.197
rule_212,160.82.112.234
rule_213,27.89.3.137
rule_214,121.148.48.86
rule_215,94.84.197.24
rule_216,63.247.207.172
rule_217,100.240.16.10
rule_218,85.232.96.175
rule_219,30.37.143.104
rule_220,36.128.155.231
rule_221,87.232.158.78
rule_222,66.71.9.125
rule_223,55.15.46.187
rule_224,16.75.30.73
rule_225,97.217.33.44
rule_226,94.34.200.186
rule_227,26.114.57.187
rule_228,135.183.206.238
rule_229,36.144.27.226
rule_230,53.160.174.176
rule_231,81.10.237.178
rule_232,74.89.142.92
rule_233,87.100.253.173
rule_234,158.234.237.180
rule_235,147.189.217.94
rule_236,64.22.108.31
rule_237,173.120.251.45
rule_238,115.91.208.180
rule_239,71.67.70.164
rule_240,58.224.70.125
rule_241,158.149.113.5
rule_242,70.240.222.196
rule_243,44.237.161.83
rule_244,104.39.122.70
rule_245,39.98.247.84
rule_246,15.8.167.135
rule_247,51.92.229.33
rule_248,154.81.170.87
rule_249,85.78.187.148
rule_250,12.68.78.59
rule_251,71.61.208.197
rule_252,92.188.211.170
rule_253,92.222.102.216
rule_254,102.67.162.163
rule_255,189.19.202.76
rule_256,35.90.144.17
rule_257,128.213.194.99
rule_258,96.154.17.209
rule_259,149.149.248.225
rule_260,127.211.240.104
rule_261,19.189.239.71
rule_262,57.232.95.245
rule_263,160.43.244.106
rule_264,102.241.128.179
rule_265,16.212.84.26
rule_266,186.30.52.79
rule_267,135.206.167.6
rule_268,191.149.134.236
rule_269,135.217.24.19
rule_270,85.182.117.46
rule_271,79.102.73.61
rule_272,113.1.151.24
rule_273,78.168.151.225
rule_274,142.172.61.47
rule_275,154.95.228.248
rule_276,20.81.44.18
rule_277,138.164.113.139
rule_278,37.112.64.130
rule_279,80.40.116.236
rule_280,35.202.213.110
rule_281,169.175.190.32
rule_282,92.69.200.16
rule_283,55.171.243.234
rule_284,119.153.127.135
rule_285,100.75.5.148
rule_286,21.36.108.33
rule_287,117.250.97.129
rule_288,124.1.158.135
rule_289,184.93.253.39
rule_290,130.252.161.221
rule_291,105.251.63.80
rule_292,144.58.119.213
rule_293,179.72.197.125
rule_294,70.208.235.40
rule_295,149.212.20.168
rule_296,123.115.119.250
rule_297,168.230.70.18
rule_298,139.106.37.96
rule_299,181.254.194.133
rule_300,163.184.254.242
rule_301,83.250.159.237
rule_302,133.119.4.249
rule_303,119.123.45.135
rule_304,107.242.67.93
rule_305,166.212.28.84
rule_306,156.132.120.3
rule_307,30.94.187.176
rule_308,71.63.181.44
rule_309,176.184.94.43
rule_310,130.107.35.161
rule_311,182.205.109.216
rule_312,56.215.153.173
rule_313,125.22.8.42
rule_314,150.237.134.91
rule_315,53.145.243.63
rule_316,154.248.127.206
rule_317,127.159.156.221
rule_318,63.81.107.155
rule_319,120.233.152.59
rule_320,150.9.242.138
rule_321,189.14.189.226
rule_322,35.169.32.118
rule_323,158.189.171.239
rule_324,72.19.146.179
rule_325,55.181.11.95
rule_326,75.245.224.179
rule_327,183.3.52.237
rule_328,36.205.227.162
rule_329,54.194.77.198
rule_330,50.82.108.248
rule_331,46.59.26.23
rule_332,136.182.209.57
rule_333,155.197.15.249
rule_334,149.187.60.118
rule_335,189.52.161.123
rule_336,124.37.216.226
rule_337,171.220.17.192
rule_338,71.87.145.107
rule_339,134.228.124.176
rule_340,111.253.70.204
rule_341,109.221.28.76
rule_342,157.190.64.72
rule_343,38.242.119.246
rule_344,92.213.196.196
rule_345,17.216.139.207
rule_346,140.231.245.117
rule_347,14.91.195.235
rule_348,42.254.155.28
rule_349,129.224.85.123
rule_350,108.208.229.133
rule_351,14.29.112.192
rule_352,55.179.132.46
rule_353,139.122.167.102
rule_354,148.168.104.68
rule_355,106.134.27.85
rule_356,145.187.254.69
rule_357,73.44.63.57
rule_358,33.185.16.152
rule_359,27.191.17.49
rule_360,127.42.229.198
rule_361,97.27.85.175
rule_362,127.11.51.94
rule_363,20.107.238.95
rule_364,154.182.169.26
rule_365,49.93.254.221
rule_366,54.72.230.130
rule_367,157.94.4.47
rule_368,160.210.87.88
rule_369,52.139.90.150
rule_370,159.78.100.215
rule_371,186.124.101.147
rule_372,107.188.68.83
rule_373,181.72.181.71
rule_374,191.160.55.4
rule_375,180.156.197.69
rule_376,87.230.82.33
rule_377,164.141.217.150
rule_378,172.138.69.204
rule_379,26.201.233.36
rule_380,115.213.172.241
rule_381,69.80.1.92
rule_382,138.72.169.239
rule_383,123.3.242.18
rule_384,116.127.220.227
rule_385,99.80.123.184
rule_386,158.218.228.73
rule_387,47.146.52.132
rule_388,156.187.66.51
rule_389,30.242.239.89
rule_390,142.45.99.219
rule_391,77.250.8.192
rule_392,124.118.46.131
rule_393,82.90.227.152
rule_394,107.160.250.30
rule_395,153.175.248.173
rule_396,48.166.81.166
rule_397,169.228.243.134
rule_398,12.138.105.23
rule_399,111.154.177.204
rule_400,159.211.144.249
rule_401,52.54.60.90
rule_402,26.254.162.135
rule_403,136.159.140.31
rule_404,108.254.65.60
rule_405,143.66.163.212
rule_406,82.77.109.22
rule_407,168.55.62.75
rule_408,79.138.25.150
rule_409,36.25.210.169
rule_410,50.208.219.157
rule_411,150.169.38.40
rule_412,171.122.133.21
rule_413,77.192.247.29
rule_414,34.31.22.235
rule_415,184.73.234.89
rule_416,141.18.53.127
rule_417,124.252.136.70
rule_418,188.78.159.137
rule_419,40.14.5.181
rule_420,114.218.180.150
rule_421,41.188.186.43
rule_422,16.68.31.80
rule_423,133.63.22.69
rule_424,98.21.127.42
rule_425,136.20.100.205
rule_426,181.168.124.123
rule_427,131.240.3.73
rule_428,184.147.177.254
rule_429,141.212.164.234
rule_430,170.175.64.161
rule_431,163.199.248.93
rule_432,60.67.85.174
rule_433,104.102.80.36
rule_434,112.105.101.142
rule_435,143.29.158.193
rule_436,185.60.92.192
rule_437,189.139.16.52
rule_438,64.48.229.81
rule_439,78.115.110.10
rule_440,152.212.46.174
rule_441,90.101.233.79
rule_442,55.46.74.125
rule_443,35.203.22.37
rule_444,84.62.63.36
rule_445,90.223.29.37
rule_446,162.14.69.53
rule_447,40.95.249.158
rule_448,163.180.46.90
rule_449,25.217.169.243
rule_450,72.34.81.41
rule_451,57.213.114.23
rule_452,26.158.196.116
rule_453,12.200.211.228
rule_454,75.247.135.29
rule_455,43.61.99.108
rule_456,29.153.105.13
rule_457,151.9.34.35
rule_458,53.107.43.190
rule_459,154.11.123.197
rule_460,41.159.163.68
rule_461,151.149.120.8
rule_462,184.179.59.118
rule_463,34.19.24.127
rule_464,122.171.145.167
rule_465,111.93.133.182
rule_466,91.204.245.77
rule_467,28.249.68.164
rule_468,120.158.58.88
rule_469,78.248.202.202
rule_470,87.137.176.202
rule_471,185.169.26.76
rule_472,181.192.161.156
rule_473,138.161.194.66
rule_474,104.126.231.22
rule_475,114.38.219.146
rule_476,115.173.145.170
rule_477,91.14.151.55
rule_478,69.6.60.192
rule_479,174.11.11.214
rule_480,174.149.189.205
rule_481,128.160.198.242
rule_482,40.151.42.14
rule_483,33.76.169.78
rule_484,95.62.126.249
rule_485,143.140.127.89
rule_486,167.139.112.36
rule_487,129.228.211.56
rule_488,162.53.242.167
rule_489,166.198.163.216
rule_490,35.3.152.232
rule_491,129.49.116.90
rule_492,165.252.104.104
rule_493,75.38.63.59
rule_494,122.215.65.107
rule_495,66.198.215.210
rule_496,66.214.85.67
rule_497,33.231.125.119
rule_498,119.111.152.185
rule_499,169.60.144.235
rule_500,129.219.193.160
rule_501,90.31.82.105
rule_502,170.122.138.242
rule_503,91.117.199.220
rule_504,130.85.67.79
rule_505,166.206.84.253
rule_506,101.162.131.136
rule_507,74.180.192.161
rule_508,123.88.164.26
rule_509,132.136.138.207
rule_510,60.118.198.111
rule_511,40.108.11.90
rule_512,189.69.153.47
rule_513,159.66.246.220
rule_514,67.41.72.136
rule_515,72.74.107.128
rule_516,88.129.84.13
rule_517,185.58.68.52
rule_518,27.4.15.194
rule_519,108.185.147.59
rule_520,183.156.38.1
rule_521,53.55.213.149
rule_522,67.129.20.91
rule_523,23.201.60.229
rule_524,126.250.79.198
rule_525,73.22.94.46
rule_526,182.44.239.195
rule_527,40.10.161.250
rule_528,152.152.140.160
rule_529,166.185.100.86
rule_530,162.65.194.69
rule_531,21.207.21.62
rule_532,142.158.44.128
rule_533,103.7.14.185
rule_534,93.117.110.171
rule_535,13.33.162.56
rule_536,52.21.70.140
rule_537,20.64.184.164
rule_538,185.172.43.159
rule_539,92.150.252.220
rule_540,144.53.29.163
rule_541,134.14.143.190
rule_542,130.12.228.154
rule_543,82.101.162.132
rule_544,151.50.151.104
rule_545,160.234.53.236
rule_546,92.229.95.1
rule_547,22.219.135.106
rule_548,73.196.27.192
rule_549,163.75.18.104
rule_550,139.179.252.174
rule_551,104.178.83.179
rule_552,53.95.236.26
rule_553,125.231.185.165
rule_554,112.47.115.242
rule_555,38.156.96.4
rule_556,142.100.51.183
rule_557,30.71.154.89
rule_558,76.205.26.122
rule_559,49.129.190.96
rule_560,74.4.35.227
rule_561,148.253.176.207
rule_562,176.212.84.212
rule_563,118.145.159.41
rule_564,34.230.81.9
rule_565,185.145.12.239
rule_566,80.175.5.152
rule_567,62.202.117.12
rule_568,49.45.67.143
rule_569,24.222.207.164
rule_570,20.153.97.21
rule_571,85.245.56.136
rule_572,185.54.127.199
rule_573,127.170.143.213
rule_574,148.194.110.86
rule_575,101.172.206.12
rule_576,122.252.249.181
rule_577,188.127.253.223
rule_578,45.252.189.127
rule_579,137.85.94.234
rule_580,105.189.88.227
rule_581,141.217.250.139
rule_582,68.103.51.31
rule_583,96.142.31.134
rule_584,169.93.238.49
rule_585,12.14.64.40
rule_586,166.4.219.170
rule_587,96.33.94.95
rule_588,45.203.2.61
rule_589,28.28.113.250
rule_590,165.130.64.16
rule_591,37.237.210.32
rule_592,129.235.126.245
rule_593,24.125.109.205
rule_594,146.215.115.152
rule_595,137.220.244.131
rule_596,107.66.5.14
rule_597,86.120.64.31
rule_598,173.213.180.17
rule_599,160.75.91.21
rule_600,185.131.238.212
rule_601,16.184.81.145
rule_602,124.86.2.15
rule_603,103.86.165.167
rule_604,121.66.144.177
rule_605,82.114.97.93
rule_606,80.195.46.168
rule_607,126.147.68.165
rule_608,78.196.88.100
rule_609,123.72.98.96
rule_610,80.23.154.159
rule_611,12.60.9.6
rule_612,181.55.240.174
rule_613,190.176.98.196
rule_614,29.43.28.14
rule_615,113.230.236.131
rule_616,23.132.147.244
rule_617,185.39.221.105
rule_618,43.212.4.5
rule_619,161.192.128.254
rule_620,122.224.238.228
rule_621,71.90.233.17
rule_622,167.205.109.102
rule_623,87.142.5.149
rule_624,82.225.82.238
rule_625,49.84.26.243
rule_626,164.233.227.60
rule_627,150.161.62.61
rule_628,94.118.72.187
rule_629,12.158.107.214
rule_630,147.98.225.121
rule_631,126.140.70.59
rule_632,191.77.12.196
rule_633,176.214.116.204
rule_634,72.22.223.19
rule_635,99.103.222.32
rule_636,27.70.9.22
rule_637,130.228.149.219
rule_638,153.169.112.28
rule_639,103.238.234.40
rule_640,135.179.154.105
rule_641,60.26.19.145
rule_642,117.75.42.154
rule_643,41.161.52.18
rule_644,22.15.44.208
rule_645,24.38.34.48
rule_646,25.34.70.197
rule_647,60.169.99.84
rule_648,116.223.48.95
rule_649,180.230.144.18
rule_650,18.174.252.148
rule_651,120.39.107.219
rule_652,156.6.125.6
rule_653,73.237.247.83
rule_654,149.121.87.91
rule_655,169.245.223.233
rule_656,118.45.164.107
rule_657,84.80.235.143
rule_658,191.174.202.123
rule_659,94.225.231.32
rule_660,66.98.16.34
rule_661,73.138.155.112
rule_662,158.201.161.143
rule_663,90.6.27.200
rule_664,50.229.237.102
rule_665,55.131.224.206
rule_666,75.26.132.43
rule_667,50.22.138.190
rule_668,18.114.202.141
rule_669,12.20.252.116
rule_670,181.200.110.159
rule_671,65.154.206.79
rule_672,122.156.16.4
rule_673,170.56.49.165
rule_674,108.97.137.124
rule_675,151.18.117.117
rule_676,29.112.4.236
rule_677,109.142.195.53
rule_678,155.139.224.126
rule_679,72.249.140.12
rule_680,104.242.109.194
rule_681,15.135.222.94
rule_682,58.141.122.44
rule_683,49.26.143.184
rule_684,185.198.65.50
rule_685,173.89.211.172
rule_686,188.170.218.25
rule_687,148.116.34.16
rule_688,11.252.11.149
rule_689,63.185.195.193
rule_690,68.155.164.136
rule_691,137.91.228.2
rule_692,76.69.220.27
rule_693,117.169.8.20
rule_694,41.180.105.198
rule_695,165.218.152.175
rule_696,84.247.179.124
rule_697,17.148.109.193
rule_698,12.120.16.19
rule_699,149.63.186.55
rule_700,39.231.137.78
rule_701,33.199.154.228
rule_702,19.2.32.36
rule_703,90.159.11.25
rule_704,173.167.122.33
rule_705,169.233.79.240
rule_706,26.37.246.238
rule_707,175.117.72.213
rule_708,156.96.44.139
rule_709,100.27.137.212
rule_710,191.204.131.95
rule_711,153.233.167.30
rule_712,35.152.53.13
rule_713,179.81.226.50
rule_714,107.150.164.109
rule_715,122.67.83.32
rule_716,31.98.49.58
rule_717,180.68.217.246
rule_718,101.18.168.6
rule_719,174.189.34.102
rule_720,148.246.148.126
rule_721,63.207.191.8
rule_722,49.215.138.179
rule_723,150.216.6.50
rule_724,42.48.185.9
rule_725,11.191.177.159
rule_726,18.158.181.197
rule_727,176.239.106.234
rule_728,80.62.145.128
rule_729,121.28.129.157
rule_730,100.110.192.115
rule_731,170.9.121.87
rule_732,46.33.242.155
rule_733,69.94.164.143
rule_734,79.209.228.207
rule_735,28.141.5.97
rule_736,164.75.19.62
rule_737,184.132.253.91
rule_738,109.64.104.20
rule_739,99.182.152.85
rule_740,78.195.111.80
rule_741,43.33.63.12
rule_742,162.156.62.144
rule_743,70.95.220.241
rule_744,57.69.227.48
rule_745,91.84.161.106
rule_746,36.174.213.143
rule_747,162.21.74.239
rule_748,124.199.107.210
rule_749,86.187.136.98
rule_750,47.249.232.237
rule_751,57.224.196.133
rule_752,101.82.40.165
rule_753,98.70.58.69
rule_754,118.191.53.172
rule_755,35.187.37.166
rule_756,85.97.17.80
rule_757,60.104.180.132
rule_758,113.156.125.187
rule_759,139.42.96.75
rule_760,52.46.242.229
rule_761,116.108.73.209
rule_762,17.221.70.142
rule_763,149.167.239.12
rule_764,56.139.15.117
rule_765,164.224.171.56
rule_766,29.12.41.235
rule_767,109.185.150.187
rule_768,88.229.82.139
rule_769,78.209.96.2
rule_770,102.157.58.12
rule_771,140.180.8.68
rule_772,43.88.66.87
rule_773,34.171.217.160
rule_774,46.26.1.175
rule_775,10.23.117.217
rule_776,184.113.206.118
rule_777,191.164.237.228
rule_778,154.112.155.93
rule_779,39.78.16.218
rule_780,24.62.171.52
rule_781,84.214.215.148
rule_782,31.56.132.26
rule_783,78.117.87.203
rule_784,95.48.53.242
rule_785,46.76.169.236
rule_786,69.97.158.78
rule_787,183.99.159.104
rule_788,141.114.245.218
rule_789,159.226.65.192
rule_790,104.99.237.209
rule_791,191.124.199.214
rule_792,35.245.226.236
rule_793,145.92.155.11
rule_794,92.162.216.97
rule_795,31.52.75.197
rule_796,74.238.85.58
rule_797,30.186.82.225
rule_798,11.227.116.38
rule_799,54.48.179.199
rule_800,140.152.10.45
rule_801,131.12.240.211
rule_802,121.183.22.66
rule_803,106.43.79.10
rule_804,187.154.108.57
rule_805,21.94.178.192
rule_806,116.168.117.201
rule_807,115.112.1.113
rule_808,106.121.238.115
rule_809,28.143.146.173
rule_810,90.54.194.158
rule_811,75.168.239.210
rule_812,81.132.18.88
rule_813,187.155.206.241
rule_814,98.23.155.42
rule_815,128.180.20.37
rule_816,13.243.59.7
rule_817,31.128.40.116
rule_818,117.11.233.109
rule_819,182.1.140.14
rule_820,60.39.62.246
rule_821,120.166.9.32
rule_822,61.172.215.104
rule_823,62.119.15.200
rule_824,40.251.190.11
rule_825,182.250.87.194
rule_826,24.71.3.108
rule_827,123.103.76.138
rule_828,154.138.252.89
rule_829,82.145.252.97
rule_830,27.104.24.206
rule_831,99.191.146.90
rule_832,40.239.102.89
rule_833,86.118.155.35
rule_834,114.11.49.19
rule_835,18.151.116.66
rule_836,26.182.88.9
rule_837,80.238.32.101
rule_838,162.112.160.193
rule_839,55.19.180.120
rule_840,166.79.219.138
rule_841,133.134.118.29
rule_842,153.14.165.47
rule_843,113.98.133.208
rule_844,20.148.221.64
rule_845,25.21.249.30
rule_846,14.188.12.161
rule_847,69.227.24.39
rule_848,128.41.7.123
rule_849,92.45.252.182
rule_850,145.86.87.244
rule_851,37.10.141.88
rule_852,159.221.254.50
rule_853,118.66.187.36
rule_854,91.84.204.27
rule_855,83.48.202.252
rule_856,81.153.206.205
rule_857,32.43.251.73
rule_858,93.173.109.168
rule_859,25.87.58.8
rule_860,77.70.87.213
rule_861,111.131.161.206
rule_862,120.43.13.4
rule_863,111.118.147.108
rule_864,95.149.105.120
rule_865,29.157.55.124
rule_866,39.95.62.154
rule_867,97.217.169.186
rule_868,127.117.69.243
rule_869,38.41.250.239
rule_870,129.51.189.33
rule_871,72.40.91.80
rule_872,159.114.24.159
rule_873,170.172.19.42
rule_874,162.107.153.114
rule_875,116.140.207.103
rule_876,159.132.83.165
rule_877,148.198.159.150
rule_878,41.65.199.218
rule_879,143.109.69.132
rule_880,102.151.111.216
rule_881,59.130.28.175
rule_882,95.12.212.252
rule_883,79.192.100.11
rule_884,105.214.26.56
rule_885,103.52.174.68
rule_886,118.41.15.178
rule_887,134.148.156.127
rule_888,56.206.56.152
rule_889,94.52.232.194
rule_890,95.243.69.219
rule_891,78.42.57.226
rule_892,53.4.132.196
rule_893,109.143.117.91
rule_894,59.231.100.40
rule_895,25.181.112.123
rule_896,96.169.159.163
rule_897,101.73.14.200
rule_898,182.15.71.222
rule_899,180.163.233.128
rule_900,16.198.149.22
rule_901,70.246.204.180
rule_902,12.85.57.235
rule_903,116.69.43.134
rule_904,78.26.150.190
rule_905,27.231.142.127
rule_906,91.71.223.13
rule_907,93.175.52.77
rule_908,189.218.222.36
rule_909,89.200.50.220
rule_910,67.40.247.204
rule_911,172.84.216.247
rule_912,118.16.190.177
rule_913,98.209.136.100
rule_914,182.56.138.76
rule_915,54.39.216.53
rule_916,98.41.72.21
rule_917,69.248.136.238
rule_918,75.91.132.132
rule_919,165.238.192.217
rule_920,93.65.105.66
rule_921,63.91.44.20
rule_922,15.171.152.188
rule_923,19.22.30.209
rule_924,131.42.35.27
rule_925,166.122.222.214
rule_926,54.172.48.47
rule_927,180.228.121.51
rule_928,137.220.50.86
rule_929,24.101.89.158
rule_930,143.134.149.224
rule_931,177.10.230.74
rule_932,88.184.102.55
rule_933,139.19.114.101
rule_934,55.228.243.47
rule_935,183.221.208.155
rule_936,182.196.222.236
rule_937,177.245.114.144
rule_938,147.252.24.243
rule_939,186.186.239.100
rule_940,87.225.68.83
rule_941,24.108.145.6
rule_942,67.96.113.114
rule_943,120.214.5.165
rule_944,184.140.178.85
rule_945,100.225.64.118
rule_946,122.176.238.186
rule_947,126.170.226.135
rule_948,167.166.88.127
rule_949,140.51.14.122
rule_950,11.60.36.58
rule_951,111.200.90.247
rule_952,169.43.32.135
rule_953,30.189.224.130
rule_954,18.91.254.193
rule_955,163.82.26.147
rule_956,159.67.109.91
rule_957,60.99.141.99
rule_958,42.249.100.124
rule_959,143.250.254.86
rule_960,86.68.236.37
rule_961,72.186.126.165
rule_962,19.63.145.91
rule_963,88.214.31.166
rule_964,178.41.195.188
rule_965,65.79.40.8
rule_966,14.163.209.234
rule_967,81.189.186.167
rule_968,108.26.126.53
rule_969,166.132.128.182
rule_970,36.217.167.239
rule_971,33.34.57.127
rule_972,139.235.175.62
rule_973,30.63.52.96
rule_974,110.206.137.39
rule_975,122.12.201.130
rule_976,117.14.30.179
rule_977,83.35.232.27
rule_978,139.79.220.56
rule_979,22.104.171.153
rule_980,181.216.160.13
rule_981,185.24.64.243
rule_982,36.251.251.169
rule_983,24.80.238.125
rule_984,162.189.161.144
rule_985,127.157.31.231
rule_986,157.198.65.235
rule_987,105.55.194.106
rule_988,24.205.211.202
rule_989,111.79.206.95
rule_990,153.132.131.47
rule_991,31.50.72.84
rule_992,122.168.15.253
rule_993,181.250.193.200
rule_994,115.225.37.237
rule_995,120.168.143.74
rule_996,57.116.217.201
rule_997,135.175.97.62
rule_998,15.181.14.122
rule_999,86.227.33.75
rule_1000,44.239.101.211
rule_1001,93.205.164.144
rule_1002,35.8.243.202
rule_1003,110.2.23.125
rule_1004,49.76.183.148
rule_1005,43.33.158.85
rule_1006,165.83.159.18
rule_1007,43.236.236.176
rule_1008,17.96.160.2
rule_1009,59.8.217.41
rule_1010,180.160.32.94
rule_1011,49.26.2.151
rule_1012,189.78.238.235
rule_1013,10.224.162.14
rule_1014,118.191.23.13
rule_1015,172.45.111.159
rule_1016,78.167.115.118
rule_1017,164.137.26.132
rule_1018,155.86.128.235
rule_1019,12.74.112.242
rule_1020,86.113.179.75
rule_1021,126.172.37.64
rule_1022,166.176.4.64
rule_1023,127.51.135.193
rule_1024,149.254.117.54
rule_1025,34.5.222.151
rule_1026,185.205.215.207
rule_1027,178.28.76.63
rule_1028,149.63.171.123
rule_1029,122.35.132.234
rule_1030,23.14.42.167
rule_1031,125.43.192.195
rule_1032,149.64.164.213
rule_1033,79.247.179.245
rule_1034,83.22.44.88
rule_1035,73.254.132.30
rule_1036,35.64.83.98
rule_1037,107.8.121.206
rule_1038,60.46.142.95
rule_1039,92.238.210.179
rule_1040,117.213.20.94
rule_1041,13.226.22.99
rule_1042,189.46.148.165
rule_1043,106.129.179.17
rule_1044,65.105.58.251
rule_1045,68.209.162.30
rule_1046,175.64.126.192
rule_1047,57.209.189.209
rule_1048,34.210.138.28
rule_1049,169.18.38.64
rule_1050,38.193.237.11
rule_1051,110.76.191.200
rule_1052,68.155.7.43
rule_1053,53.24.64.13
rule_1054,185.109.47.172
rule_1055,123.140.113.64
rule_1056,112.3.152.117
rule_1057,113.254.245.21
rule_1058,62.10.189.129
rule_1059,54.50.49.107
rule_1060,186.74.15.42
rule_1061,187.19.93.152
rule_1062,69.247.40.146
rule_1063,126.177.70.245
rule_1064,169.74.77.229
rule_1065,169.12.164.185
rule_1066,100.164.80.86
rule_1067,47.181.248.86
rule_1068,99.85.118.137
rule_1069,87.56.190.170
